File,Key (Photoshop layer name),Product,Size,Price
vip,vip_richelieu_white_175ml,Richelieu White,175ml,£8.20
vip,vip_richelieu_white_125ml,Richelieu White,125ml,£6
vip,vip_prosecco_bottle,Prosecco,Bottle,£35
vip,vip_prosecco_175ml,Prosecco,175ml,£8.50
vip,vip_prosecco_125ml,Prosecco,125ml,£6.20
vip,vip_carafe_deposit_refund_needed_bottle,Carafe Deposit (+refund needed),Bottle,£10
vip,vip_water_500ml_can,Water 500ml,Can,£2.50
vip,vip_can_coca_cola_zero_330ml_can,CAN Coca Cola Zero 330ml,Can,£3.20
vip,vip_can_lemonade_330ml_can,CAN Lemonade 330ml Can,Can,£3.20
vip,vip_schweppes_tonic_1l_pet_pint,Schweppes Tonic 1L PET,Pint,£4
vip,vip_schweppes_tonic_1l_pet_half,Schweppes Tonic 1L PET,Half,£2
vip,vip_schweppes_soda_1l_pint,Schweppes Soda 1L,Pint,£4
vip,vip_schweppes_soda_1l_half,Schweppes Soda 1L,Half,£2
vip,vip_red_bull_energy_drink_can,Red Bull Energy Drink,Can,£4.50
vip,vip_red_bull_sugarfree_can,Red Bull Sugarfree,Can,£4.50
vip,vip_red_bull_peach_edition_can,Red Bull Peach Edition,Can,£4.50
vip,vip_red_bull_citrus_zest_edition_can,Red Bull Citrus Zest Edition,Can,£4.50
